Dimension,Kind,BestValue,ICS-DGRN,ICS-DGRN_Rank,ICS-DGRN_Excellent,ExcellentModels
MAE,acc,22.297650537752638,22.297650537752638,1,True,"ICS-DGRN, STGCN"
RMSE,acc,34.37995653398983,34.37995653398983,1,True,"ICS-DGRN, STGCN, AGCRN"
MAPE,acc,297433.7723961257,297433.7723961257,1,True,"ICS-DGRN, STGCN"
R2,acc,0.9431469385359447,0.9431469385359447,1,True,"ICS-DGRN, STGCN, GWNet, AGCRN"
InferTimeSec,eff,0.037866399999984424,0.657593800000086,5,False,"AGCRN, STGCN, TGCN"
TrainableParams,eff,3564.0,117567.0,5,False,"TGCN, AGCRN, GWNet"
ModelSizeMB,eff,0.0135955810546875,0.4484825134277344,5,False,"TGCN, AGCRN, GWNet"
ParamEff,eff,1517.6647068787636,7645.428353035313,5,False,"AGCRN, TGCN, GWNet"
MAE_TrainCost,eff,180.18266081380926,2653.212249816437,5,False,"AGCRN, GWNet, TGCN"
ESP_Guarantee,theory,1.0,1.0,1,True,ICS-DGRN
