,MSE,MAE,RMSE,MAPE,R2,TrainTimeSec,InferTimeSec,TrainableParams,StoredParams,ModelSizeMB,Epochs,best_val_mae,MAE_TrainCost,ParamEff,ESP_Guarantee,dataset
ICS-DGRN,1181.98,22.2977,34.38,297434,0.943147,118.991,0.657594,117567,117567,0.448483,20,0.156162,2653.21,7645.43,1,PEMS08
STGCN,1232.99,22.6077,35.114,426108,0.940693,20.8569,0.06018,25740,25740,0.0981903,20,0.155832,471.525,3627.1,0,PEMS08
TGCN,3885.82,40.3915,62.3364,1.32733e+06,0.813093,10.7682,0.0723395,3564,3564,0.0135956,20,0.273956,434.946,2411.34,0,PEMS08
GWNet,1305.99,23.6256,36.1385,455182,0.937182,15.3917,0.0797279,12876,12876,0.049118,20,0.161888,363.638,2680.86,0,PEMS08
AGCRN,1289.37,23.5417,35.9078,479234,0.937982,7.65376,0.0378664,4156,4156,0.0158539,20,0.161098,180.183,1517.66,0,PEMS08
ICS-DGRN,1714.81,26.9263,41.4102,2.22515e+06,0.931876,175.278,0.867171,119759,119759,0.456844,20,0.179557,4719.58,9318.16,1,PEMS04
STGCN,1888.79,28.1653,43.4602,2.68635e+06,0.924964,22.1423,0.117497,25740,25740,0.0981903,20,0.186327,623.645,4518.75,0,PEMS04
TGCN,3088.25,36.3868,55.5721,5.02397e+06,0.877314,14.6093,0.0911583,3564,3564,0.0135956,20,0.23935,531.584,2172.26,0,PEMS04
GWNet,1923.85,28.648,43.8617,2.66345e+06,0.923572,24.5691,0.15359,12876,12876,0.049118,20,0.189367,703.856,3250.76,0,PEMS04
AGCRN,1864.12,28.5696,43.1754,2.91164e+06,0.925945,9.51197,0.0681131,5252,5252,0.0200348,20,0.188521,271.753,2070.46,0,PEMS04
ICS-DGRN,952.235,20.1309,30.8583,664392,0.94955,195.924,0.965644,120575,120575,0.459957,20,0.156279,3944.12,6990.25,1,PEMS03
STGCN,1034.4,20.7771,32.1621,921152,0.945197,25.4625,0.136481,25740,25740,0.0981903,20,0.160134,529.038,3333.42,0,PEMS03
TGCN,2860.56,36.2967,53.4842,2.68219e+06,0.848445,16.3639,0.103163,3564,3564,0.0135956,20,0.275083,593.955,2166.88,0,PEMS03
GWNet,1110.64,22.0316,33.3262,1.12583e+06,0.941158,28.5056,0.177663,12876,12876,0.049118,20,0.166739,628.022,2499.98,0,PEMS03
AGCRN,1261.73,21.589,35.5209,987563,0.933152,11.0987,0.0804455,5660,5660,0.0215912,20,0.163324,239.609,1624.2,0,PEMS03
